"Snow_Course_Name","Number","Elevation_metres","Date_of_Survey","Snow_Depth_cm","Water_Equiv_mm","Survey_Code","percent_Normal","Density_pecent","Survey_Period","Normal_mm"
"BLUE RIVER","1E01B",673,"2/29/1984",97,264,NA,94,27,"March_1",280
"ABERDEEN LAKE","1F01A",1262,"2/29/1984",57,138,NA,104,24,"March_1",133
"HADDO LAKE","1F01B",1300,"2/29/1984",38,89,NA,85,23,"March_1",105
"REVELSTOKE","2B01",560,"2/29/1984",67,197,NA,86,29,"March_1",228
"FARRON","2B02A",1229,"2/29/1984",109,311,NA,113,29,"March_1",276
"KOCH CREEK","2B07",1813,"2/29/1984",184,593,NA,99,32,"March_1",601
"ST. LEON CREEK","2B08",1828,"2/29/1984",269,938,NA,91,35,"March_1",1031
"FERNIE","2C02",1070,"2/29/1984",11,29,NA,20,26,"March_1",145
"FERNIE (NE)","2C02A",1070,"2/29/1984",32,91,NA,45,28,"March_1",201
"FERNIE EAST","2C07",1213,"2/29/1984",73,196,NA,73,27,"March_1",270
"MOYIE MOUNTAIN","2C10",1940,"2/29/1984",96,264,NA,76,28,"March_1",346
"KIMBERLEY (UPPER) VOR","2C11",2148,"2/29/1984",103,271,NA,80,26,"March_1",337
"KIMBERLEY (MIDDLE) VOR","2C12",1692,"2/29/1984",73,173,NA,84,24,"March_1",207
"KIMBERLEY (LOWER) VOR","2C13",1370,"2/29/1984",44,119,NA,78,27,"March_1",152
"SANDON","2D03",1072,"2/29/1984",96,284,NA,89,30,"March_1",319
"DUNCAN LAKE","2D07",650,"2/29/1984",33,112,NA,102,34,"March_1",110
"TROUT CREEK","2F01",1428,"2/29/1984",46,113,NA,72,25,"March_1",156
"POSTILL LAKE","2F07",1358,"2/29/1984",73,160,NA,92,22,"March_1",173
"GREYBACK RESERVOIR","2F08",1548,"2/29/1984",82,199,NA,106,24,"March_1",188
"ISLAHT LAKE","2F24",1492,"2/29/1984",102,232,NA,81,23,"March_1",285
"GROUSE MOUNTAIN","3A01",1126,"2/29/1984",198,675,NA,70,34,"March_1",966
"HOLLYBURN","3A08",1100,"2/29/1984",301,1223,NA,96,41,"March_1",1268
"TATLAYOKO LAKE","3A13",1710,"2/29/1984",70,158,NA,70,23,"March_1",227
"MOUNT COKELY","3B02A",1267,"2/29/1984",250,774,NA,117,31,"March_1",662
"TENNENT LAKE","3B22",1134,"2/29/1984",205,620,NA,88,30,"March_1",707
"KLESILKWA","3D03A",1134,"2/29/1984",34,102,NA,45,30,"March_1",228
"WARE (UPPER)","4A03",1563,"2/29/1984",68,139,NA,63,20,"March_1",220
"WARE (LOWER)","4A04",969,"2/29/1984",53,97,NA,58,18,"March_1",167
"GERMANSEN (UPPER)","4A05",1489,"2/29/1984",97,231,NA,79,24,"March_1",293
"LADY LAURIER LAKE","4A07",1446,"2/29/1984",154,433,NA,96,28,"March_1",452
"IPEC LAKE","4A08",1310,"2/29/1984",105,274,NA,95,26,"March_1",287
"TSAYDAYCHI LAKE","4A12",1173,"2/29/1984",123,314,NA,92,26,"March_1",340
"PHILIP LAKE","4A13",1013,"2/29/1984",84,212,NA,88,25,"March_1",242
"MORFEE MOUNTAIN","4A16",1427,"2/29/1984",201,682,NA,94,34,"March_1",725
"MOUNT STEARNS","4A21",1514,"2/29/1984",43,81,NA,65,19,"March_1",124
"KWADACHA RIVER","4A27",1620,"2/29/1984",121,310,NA,97,26,"March_1",321
"BULLHEAD MOUNTAIN","4A28",798,"2/29/1984",26,68,NA,84,26,"March_1",81
"KIDPRICE LAKE","4B01",1415,"2/29/1984",229,793,NA,97,35,"March_1",817
"HUDSON BAY MTN.","4B03A",1452,"2/29/1984",129,375,NA,85,29,"March_1",443
"CHAPMAN LAKE","4B04",1485,"2/29/1984",131,363,NA,89,28,"March_1",407
"MCKENDRICK CREEK","4B07",1048,"2/29/1984",76,192,NA,78,25,"March_1",246
"MOUNT CRONIN","4B08",1491,"2/29/1984",159,467,NA,94,29,"March_1",498
"TERRACE A","4B13",1805,"2/29/1984",4,19,NA,20,48,"March_1",93
"TERRACE AIRPORT","4B13A",219,"2/29/1984",6,26,NA,18,43,"March_1",141
"SIKANNI LAKE","4C01",1390,"2/29/1984",93,227,NA,95,24,"March_1",238
"SUMMIT LAKE","4C02",1291,"2/29/1984",38,72,NA,65,19,"March_1",111
"COOK FORKS","1E06",1390,"3/1/1984",259,846,NA,113,33,"March_1",752
"KAZA LAKE","1A12",1247,"3/1/1984",107,270,NA,92,25,"March_1",295
"NAZKO","1C08",1029,"3/1/1984",12,21,NA,33,18,"March_1",64
"HORSEFLY MOUNTAIN","1C13A",1612,"3/1/1984",130,388,NA,91,30,"March_1",428
"LYTTON","1C16",270,"3/1/1984",0,0,NA,0,NA,"March_1",0
"GNAWED MOUNTAIN","1C19",1617,"3/1/1984",26,63,NA,66,24,"March_1",96
"SPAHOMIN","1C30",1450,"3/1/1984",18,40,NA,50,22,"March_1",80
"MOUNT COOK","1E02A",1580,"3/1/1984",313,1068,NA,105,34,"March_1",1022
"HUMAMILT LAKE","1F05",1280,"3/1/1984",NA,NA,"N",NA,NA,"March_1",NA
"BUGABOO CREEK","2A26",1510,"3/1/1984",NA,NA,"N",NA,NA,"March_1",NA
"WHATSHAN (UPPER)","2B05",1476,"3/1/1984",160,510,NA,89,32,"March_1",570
"BARNES CREEK","2B06",1598,"3/1/1984",135,406,NA,95,30,"March_1",428
"NELSON","2D04",952,"3/1/1984",97,260,NA,79,27,"March_1",328
"ARROW CREEK","2D11",1620,"3/1/1984",NA,NA,"N",NA,NA,"March_1",NA
"GRAYSTOKE LAKE","2F04",1818,"3/1/1984",111,302,NA,106,27,"March_1",285
"MISSION CREEK","2F05",1780,"3/1/1984",139,418,NA,100,30,"March_1",419
"PEARSON CREEK","2F22",940,"3/1/1984",52,144,NA,115,28,"March_1",125
"MACDONALD LAKE","2F23",1742,"3/1/1984",126,351,NA,95,28,"March_1",368
"LOST HORSE MOUNTAIN","2G04",1988,"3/1/1984",57,110,NA,62,19,"March_1",178
"CALLAGHAN CREEK","3A20",1009,"3/1/1984",NA,NA,"N",NA,NA,"March_1",NA
"WOLF RIVER (LOWER)","3B19",615,"3/1/1984",76,192,NA,64,25,"March_1",301
"NEW TASHME","3D01A",700,"3/1/1984",34,85,NA,67,25,"March_1",126
"TUTIZZI LAKE","4A06",1043,"3/1/1984",82,176,NA,77,21,"March_1",230
"PULPIT LAKE","4A09",1331,"3/1/1984",126,312,NA,84,25,"March_1",372
"FREDRICKSON LAKE","4A10",1323,"3/1/1984",78,155,NA,73,20,"March_1",213
"TRYGVE LAKE","4A11",1409,"3/1/1984",119,266,NA,83,22,"March_1",319
"MACKENZIE AIRPORT","4A19",700,"3/1/1984",69,164,NA,78,24,"March_1",211
"JOHANSON LAKE","4B02",1480,"3/1/1984",95,224,NA,89,24,"March_1",253
"DEASE LAKE","4C03",805,"3/1/1984",41,86,NA,69,21,"March_1",124
"FORT NELSON AIRPORT","4C05",368,"3/1/1984",32,52,NA,57,16,"March_1",92
"HIGHLAND VALLEY","1C09A",1457,"3/2/1984",36,80,NA,104,22,"March_1",77
"GREEN MOUNTAIN","1C12",1630,"3/2/1984",145,420,NA,80,29,"March_1",525
"MOUNT TIMOTHY","1C17",1632,"3/2/1984",100,250,NA,94,25,"March_1",266
"MISSION RIDGE","1C18",1850,"3/2/1984",110,303,NA,65,28,"March_1",468
"BIG CREEK","1C21",1130,"3/2/1984",18,60,NA,125,33,"March_1",48
"DUFFEY LAKE","1C28",1253,"3/2/1984",113,230,NA,54,20,"March_1",428
"SUNBEAM LAKE","2A22",2066,"3/2/1984",218,692,NA,92,32,"March_1",751
"WHITEROCKS MOUNTAIN","2F09",1789,"3/2/1984",150,525,NA,117,35,"March_1",450
"WHISTLER MOUNTAIN","3A16",1450,"3/2/1984",188,528,NA,103,28,"March_1",511
"FORBIDDEN PLATEAU","3B01",1110,"3/2/1984",353,1200,"A",100,34,"March_1",1203
"ELK RIVER","3B04",270,"3/2/1984",0,0,NA,0,NA,"March_1",58
"TRIPP MEADOWS","3B06",820,"3/2/1984",44,138,NA,111,31,"March_1",124
"UPPER THELWOOD LAKE","3B10",1014,"3/2/1984",351,1163,NA,103,33,"March_1",1128
"WOLF RIVER (UPPER)","3B17",1490,"3/2/1984",283,1070,NA,106,38,"March_1",1014
"WOLF RIVER (MIDDLE)","3B18",1050,"3/2/1984",172,510,NA,100,30,"March_1",509
"FORT ST. JOHN AIRPORT","4A25",692,"3/2/1984",38,96,NA,97,25,"March_1",99
"TELEGRAPH CREEK","4D01",490,"3/2/1984",38,92,NA,64,24,"March_1",144
"PAVILION","1C06",1209,"3/3/1984",9,25,NA,43,28,"March_1",58
"GOLDSTREAM","2A16",1914,"3/3/1984",268,919,NA,96,34,"March_1",954
"KEYSTONE CREEK","2A18",1839,"3/3/1984",190,636,NA,95,33,"March_1",671
"MOLSON CREEK","2A21",1980,"3/3/1984",252,862,NA,88,34,"March_1",983
"BUSH RIVER","2A23",1982,"3/3/1984",172,552,NA,81,32,"March_1",682
"KIRBYVILLE LAKE","2A25",1739,"3/3/1984",266,913,NA,92,34,"March_1",990
"DOWNIE SLIDE (LOWER)","2A27",964,"3/3/1984",168,518,NA,84,31,"March_1",618
"DOWNIE SLIDE (UPPER)","2A29",1628,"3/3/1984",287,1026,NA,90,36,"March_1",1146
"PALISADE LAKE","3A09",898,"3/3/1984",226,968,NA,88,43,"March_1",1106
"ORCHID LAKE","3A19",1178,"3/3/1984",391,1535,NA,105,39,"March_1",1467
"SNO-BIRD LAKE","3B16",1400,"3/3/1984",278,1117,NA,105,40,"March_1",1067
"PINE PASS","4A02",1439,"3/3/1984",300,1029,NA,98,34,"March_1",1051
"DIAMOND HEAD","3A21",1420,"3/4/1984",289,997,NA,89,34,"March_1",1117
"PARK MOUNTAIN","1F03",1890,"3/5/1984",212,736,NA,95,35,"March_1",771
"NEWCASTLE RIDGE","3B14",1170,"3/5/1984",321,1384,NA,103,43,"March_1",1340
"YELLOWHEAD","1A01",1860,"3/25/1984",127,408,NA,85,32,"April_1",482
"CONANT LAKE","1C31",1370,"3/25/1984",42,144,NA,77,34,"April_1",188
"MOUNT ABBOT","2A14",2031,"3/25/1984",289,1040,NA,87,36,"April_1",1199
"RECORD MOUNTAIN","2B09",1906,"3/25/1984",226,758,NA,107,34,"April_1",708
"FERGUSON","2D02",929,"3/25/1984",107,404,NA,73,38,"April_1",550
"MOUNT WELLS","1B01",1489,"3/26/1984",133,457,NA,93,34,"April_1",490
"TAHTSA LAKE","1B02",1319,"3/26/1984",296,1119,NA,93,38,"April_1",1202
"SHOVELNOSE MOUNTAIN","1C29",1456,"3/26/1984",44,124,NA,56,28,"April_1",222
"BURWELL LAKE","3A07",880,"3/26/1984",150,604,NA,75,40,"April_1",807
"HOLLYBURN","3A08",1100,"3/26/1984",327,1508,NA,101,46,"April_1",1500
"PALISADE LAKE","3A09",898,"3/26/1984",246,1083,NA,82,44,"April_1",1322
"LOCH LOMOND","3A11",900,"3/26/1984",174,756,NA,81,43,"April_1",936
"ORCHID LAKE","3A19",1178,"3/26/1984",388,1768,NA,100,46,"April_1",1769
"NOSTETUKO RIVER","3A22A",1500,"3/26/1984",112,351,NA,75,31,"April_1",466
"HEATHER MOUNTAIN","3B13",1170,"3/26/1984",155,622,NA,87,40,"April_1",715
"KIDPRICE LAKE","4B01",1415,"3/26/1984",224,882,NA,95,39,"April_1",931
"TRIUMPH CREEK","4D06",1220,"3/26/1984",249,882,NA,86,35,"April_1",1027
"FORREST KERR CREEK","4D08",560,"3/26/1984",145,493,NA,82,34,"April_1",604
"SNIPPAKER CREEK","4D09",620,"3/26/1984",156,534,NA,84,34,"April_1",638
"TUMEKA CREEK","4D10",1220,"3/26/1984",145,467,NA,82,32,"April_1",573
"BOUNDARY","4D15",470,"3/26/1984",103,430,NA,91,42,"April_1",475
"MONASHEE PASS","2E01",1387,"3/27/1984",101,319,NA,98,32,"April_1",324
"KAZA LAKE","1A12",1247,"3/27/1984",110,321,NA,94,29,"April_1",341
"DEADMAN RIVER","1C32",1463,"3/27/1984",46,108,NA,104,23,"April_1",104
"STAVE LAKE","1D08",1211,"3/27/1984",283,1283,NA,89,45,"April_1",1448
"WAHLEACH LAKE","1D09",1395,"3/27/1984",115,408,NA,69,35,"April_1",588
"NAHATLATCH RIVER","1D10",1530,"3/27/1984",231,983,NA,76,43,"April_1",1296
"BOSTON BAR CREEK (LOWER)","1D12",1230,"3/27/1984",134,504,NA,79,38,"April_1",634
"PARK MOUNTAIN","1F03",1890,"3/27/1984",249,878,NA,97,35,"April_1",902
"BEAVERFOOT","2A11",1924,"3/27/1984",50,105,NA,55,21,"April_1",191
"VERMONT CREEK","2A19",1533,"3/27/1984",81,230,NA,58,28,"April_1",397
"WHATSHAN (UPPER)","2B05",1476,"3/27/1984",158,570,NA,89,36,"April_1",638
"BARNES CREEK","2B06",1598,"3/27/1984",156,480,NA,97,31,"April_1",497
"FLOE LAKE","2C14",2087,"3/27/1984",178,589,NA,80,33,"April_1",734
"MOUNT ASSINIBOINE","2C15",2230,"3/27/1984",154,435,NA,85,28,"April_1",514
"MOUNT JOFFRE","2C16",1763,"3/27/1984",93,251,NA,72,27,"April_1",349
"THUNDER CREEK","2C17",2062,"3/27/1984",76,188,NA,73,25,"April_1",259
"EAST CREEK","2D08",2030,"3/27/1984",221,788,NA,89,36,"April_1",889
"MOUNT TEMPLEMAN","2D09",1879,"3/27/1984",254,908,NA,90,36,"April_1",1013
"TROUT CREEK","2F01",1428,"3/27/1984",49,113,NA,70,23,"April_1",161
"VASEUX CREEK","2F20",1403,"3/27/1984",69,176,NA,133,26,"April_1",132
"TIEDEMANN GLACIER","3A17",1400,"3/27/1984",256,969,NA,92,38,"April_1",1055
"KLESILKWA","3D03A",1134,"3/27/1984",9,39,NA,17,43,"April_1",231
"WARE (UPPER)","4A03",1563,"3/27/1984",74,173,NA,67,23,"April_1",258
"WARE (LOWER)","4A04",969,"3/27/1984",48,118,NA,61,25,"April_1",194
"GERMANSEN (UPPER)","4A05",1489,"3/27/1984",110,281,NA,81,26,"April_1",348
"TUTIZZI LAKE","4A06",1043,"3/27/1984",71,197,NA,76,28,"April_1",259
"PULPIT LAKE","4A09",1331,"3/27/1984",128,368,NA,87,29,"April_1",425
"FREDRICKSON LAKE","4A10",1323,"3/27/1984",75,193,NA,78,26,"April_1",247
"TRYGVE LAKE","4A11",1409,"3/27/1984",111,314,NA,85,28,"April_1",370
"TSAYDAYCHI LAKE","4A12",1173,"3/27/1984",133,373,NA,94,28,"April_1",398
"PHILIP LAKE","4A13",1013,"3/27/1984",87,248,NA,89,29,"April_1",279
"PINK MOUNTAIN","4A14",1170,"3/27/1984",24,52,NA,65,22,"April_1",80
"JOHANSON LAKE","4B02",1480,"3/27/1984",104,281,NA,93,27,"April_1",301
"FROG RIVER","4C14",1480,"3/27/1984",119,357,NA,94,30,"April_1",380
"SCHAFT CREEK","4D07",1140,"3/27/1984",127,366,NA,80,29,"April_1",458
"KINASKAN LAKE","4D11",1020,"3/27/1984",82,247,NA,67,30,"April_1",371
"EAGLENEST CREEK","4D12",1540,"3/27/1984",73,193,NA,72,26,"April_1",268
"WADE LAKE","4D14",1370,"3/27/1984",105,304,NA,75,29,"April_1",403
"MOUNT ALBREDA","1E04",1920,"3/28/1984",200,724,NA,101,36,"April_1",716
"MCQUEEN LAKE","1E12",1100,"3/28/1984",30,103,NA,149,34,"April_1",69
"HANSARD","1A06A",622,"3/28/1984",21,74,NA,42,35,"April_1",176
"HOLMES RIVER","1A18",1900,"3/28/1984",202,729,NA,104,36,"April_1",699
"DOME MOUNTAIN","1A19",1766,"3/28/1984",186,621,NA,87,33,"April_1",716
"SKINS LAKE","1B05",877,"3/28/1984",32,88,NA,98,28,"April_1",90
"LAC LE JEUNE (LOWER)","1C07",1370,"3/28/1984",35,90,NA,105,26,"April_1",86
"LAC LE JEUNE (UPPER)","1C25",1471,"3/28/1984",46,136,NA,107,30,"April_1",127
"FERNIE","2C02",1070,"3/28/1984",0,0,NA,0,NA,"April_1",95
"FERNIE (NE)","2C02A",1070,"3/28/1984",30,95,NA,55,32,"April_1",173
"FERNIE EAST","2C07",1213,"3/28/1984",64,221,NA,77,35,"April_1",286
"MORRISSEY RIDGE","2C09",1860,"3/28/1984",151,513,NA,81,34,"April_1",637
"MORRISSEY RIDGE","2C09A",1800,"3/28/1984",162,533,NA,81,33,"April_1",661
"GRAY CREEK (LOWER)","2D05",1558,"3/28/1984",130,425,NA,97,33,"April_1",440
"CHAR CREEK","2D06",1290,"3/28/1984",118,425,"A",81,36,"April_1",525
"GRAY CREEK (UPPER)","2D10",1926,"3/28/1984",206,694,NA,96,34,"April_1",722
"GROUSE MOUNTAIN","3A01",1126,"3/28/1984",230,1017,NA,88,44,"April_1",1160
"DOG MOUNTAIN","3A10",1007,"3/28/1984",252,1081,NA,95,43,"April_1",1137
"LADY LAURIER LAKE","4A07",1446,"3/28/1984",161,492,NA,93,31,"April_1",529
"IPEC LAKE","4A08",1310,"3/28/1984",105,288,NA,97,27,"April_1",297
"GERMANSEN (LOWER)","4A17",750,"3/28/1984",0,0,NA,0,NA,"April_1",50
"MOUNT STEARNS","4A21",1514,"3/28/1984",40,76,NA,52,19,"April_1",147
"WONOWON","4A24",910,"3/28/1984",29,86,NA,99,30,"April_1",87
"KWADACHA RIVER","4A27",1620,"3/28/1984",128,352,NA,95,28,"April_1",369
"SIKANNI LAKE","4C01",1390,"3/28/1984",90,244,NA,88,27,"April_1",276
"SUMMIT LAKE","4C02",1291,"3/28/1984",46,108,NA,96,23,"April_1",113
"CASSIAR","4C04",1390,"3/28/1984",106,303,NA,85,29,"April_1",356
"METAHAG CREEK","4D03",1220,"3/28/1984",87,211,NA,68,24,"April_1",310
"BEATTY CREEK","4D04",1130,"3/28/1984",82,214,NA,71,26,"April_1",300
"TAHLTAN LAKE","4D05",1220,"3/28/1984",98,308,NA,81,31,"April_1",381
"UPPER STIKINE","4D13",1450,"3/28/1984",131,386,NA,85,29,"April_1",454
"ATLIN LAKE","4E02",730,"3/29/1984",28,82,NA,NA,29,"April_1",NA
"KNOUFF LAKE","1E05",1189,"3/29/1984",48,141,NA,105,29,"April_1",134
"BLUEJOINT MOUNTAIN","2E06",1990,"3/29/1984",226,766,NA,108,34,"April_1",706
"ADAMS RIVER","1E07",1769,"3/29/1984",198,660,NA,98,33,"April_1",673
"AZURE RIVER","1E08",1620,"3/29/1984",285,1092,NA,104,38,"April_1",1049
"KOSTAL LAKE","1E10",1770,"3/29/1984",274,983,NA,125,36,"April_1",785
"MCBRIDE (UPPER)","1A02",1590,"3/29/1984",118,370,NA,92,31,"April_1",401
"BARKERVILLE","1A03",1520,"3/29/1984",105,314,NA,91,30,"April_1",345
"TORPY RIVER","1A09",1070,"3/29/1984",96,304,NA,79,32,"April_1",386
"PRINCE GEORGE AIRPORT","1A10",684,"3/29/1984",11,30,NA,31,27,"April_1",98
"NARROW LAKE","1A21",1650,"3/29/1984",224,802,NA,91,36,"April_1",878
"PORCUPINE RIDGE","1C02",1830,"3/29/1984",170,511,NA,131,30,"April_1",390
"TRANQUILLE LAKE","1C03",1420,"3/29/1984",102,274,NA,133,27,"April_1",206
"PASS LAKE","1C04",870,"3/29/1984",7,17,NA,55,24,"April_1",31
"FRENCH SNOWSHOE","1C10",1580,"3/29/1984",211,724,"A",109,34,"April_1",666
"GREEN MOUNTAIN","1C12",1630,"3/29/1984",138,442,NA,73,32,"April_1",606
"PENFOLD CREEK","1C23",1687,"3/29/1984",252,913,NA,93,36,"April_1",979
"YANKS PEAK","1C24",1710,"3/29/1984",206,707,NA,91,34,"April_1",778
"CORNWALL HILLS","1C27",2000,"3/29/1984",83,179,NA,82,22,"April_1",217
"BOSTON BAR CREEK (UPPER)","1D11",1340,"3/29/1984",223,922,NA,88,41,"April_1",1048
"OTTOMITE","1D14",1460,"3/29/1984",281,1100,NA,84,39,"April_1",1308
"BLUE RIVER TOWN","1E01A",670,"3/29/1984",68,220,NA,84,32,"April_1",263
"BLUE RIVER","1E01B",673,"3/29/1984",69,209,NA,77,30,"April_1",272
"ENDERBY","1F04",1948,"3/29/1984",272,1015,NA,101,37,"April_1",1002
"CANOE RIVER","2A01A",866,"3/29/1984",4,11,NA,17,28,"April_1",65
"GLACIER","2A02",1249,"3/29/1984",150,576,NA,86,38,"April_1",670
"FIDELITY MOUNTAIN","2A17",1852,"3/29/1984",288,1066,NA,88,37,"April_1",1210
"FARRON","2B02A",1229,"3/29/1984",96,337,NA,112,35,"April_1",300
"KOCH CREEK","2B07",1813,"3/29/1984",221,778,NA,108,35,"April_1",722
"ST. LEON CREEK","2B08",1828,"3/29/1984",292,1045,NA,87,36,"April_1",1200
"MOYIE MOUNTAIN","2C10",1940,"3/29/1984",107,325,NA,82,30,"April_1",396
"NELSON","2D04",952,"3/29/1984",65,224,NA,67,34,"April_1",334
"MCCULLOCH","2F03",1266,"3/29/1984",44,126,NA,95,29,"April_1",132
"GRAYSTOKE LAKE","2F04",1818,"3/29/1984",126,374,NA,110,30,"April_1",339
"MISSION CREEK","2F05",1780,"3/29/1984",164,514,NA,106,31,"April_1",485
"POSTILL LAKE","2F07",1358,"3/29/1984",72,212,NA,105,29,"April_1",202
"GREYBACK RESERVOIR","2F08",1548,"3/29/1984",108,284,NA,127,26,"April_1",223
"BRENDA MINE","2F18",1453,"3/29/1984",112,335,NA,121,30,"April_1",277
"OYAMA LAKE","2F19",1365,"3/29/1984",58,157,NA,102,27,"April_1",154
"PEARSON CREEK","2F22",940,"3/29/1984",29,90,NA,110,31,"April_1",82
"NICKEL PLATE","2G02",1890,"3/29/1984",61,172,NA,96,28,"April_1",179
"POWELL RIVER (UPPER)","3A02",1002,"3/29/1984",210,819,NA,85,39,"April_1",969
"POWELL RIVER (LOWER)","3A05",882,"3/29/1984",125,500,NA,77,40,"April_1",651
"FORBIDDEN PLATEAU","3B01",1110,"3/29/1984",325,1455,NA,98,45,"April_1",1485
"ELK RIVER","3B04",270,"3/29/1984",0,0,NA,0,NA,"April_1",34
"TRIPP MEADOWS","3B06",820,"3/29/1984",10,27,NA,25,27,"April_1",109
"UPPER THELWOOD LAKE","3B10",1014,"3/29/1984",319,1395,NA,96,44,"April_1",1455
"NEWCASTLE RIDGE","3B14",1170,"3/29/1984",347,1515,NA,101,44,"April_1",1502
"WOLF RIVER (UPPER)","3B17",1490,"3/29/1984",263,1146,NA,95,44,"April_1",1211
"WOLF RIVER (MIDDLE)","3B18",1050,"3/29/1984",132,502,NA,81,38,"April_1",618
"WOLF RIVER (LOWER)","3B19",615,"3/29/1984",14,56,NA,18,40,"April_1",315
"SPROAT LAKE","3B20",1220,"3/29/1984",345,1450,NA,100,42,"April_1",1449
"MARGARET LAKE","3B21",1040,"3/29/1984",370,1582,NA,92,43,"April_1",1717
"NEW TASHME","3D01A",700,"3/29/1984",0,0,NA,0,NA,"April_1",76
"NINGUNSAW PASS","4B10",647,"3/29/1984",82,323,NA,74,39,"April_1",434
"ISKUT","4D02",931,"3/29/1984",0,0,NA,0,NA,"April_1",98
"ATLIN LAKE","4E02A",705,"3/29/1984",18,50,NA,40,28,"April_1",126
"LOG CABIN","4E01",886,"3/30/1984",89,295,NA,72,33,"April_1",407
"BIG WHITE MOUNTAIN","2E03",1672,"3/30/1984",161,519,NA,109,32,"April_1",476
"TRAPPING CR (UPPER)","2E04",1360,"3/30/1984",69,211,NA,107,31,"April_1",197
"LONGWORTH (UPPER)","1A05",1693,"3/30/1984",173,612,NA,80,35,"April_1",768
"PACIFIC LAKE","1A11",756,"3/30/1984",123,430,NA,71,35,"April_1",608
"LONGWORTH (LOWER)","1A13",1230,"3/30/1984",50,170,NA,65,34,"April_1",260
"HEDRICK LAKE","1A14",1113,"3/30/1984",129,485,NA,72,38,"April_1",672
"KNUDSEN LAKE","1A15",1598,"3/30/1984",197,684,NA,85,35,"April_1",801
"REVOLUTION CREEK","1A17",1690,"3/30/1984",218,782,NA,93,36,"April_1",843
"MCBRIDE (MIDDLE)","1A20",1160,"3/30/1984",97,306,NA,92,32,"April_1",333
"MCBRIDE (LOWER)","1A22",790,"3/30/1984",15,44,NA,54,29,"April_1",81
"MOUNT TIMOTHY","1C17",1632,"3/30/1984",118,303,NA,102,26,"April_1",296
"MISSION RIDGE","1C18",1850,"3/30/1984",94,310,NA,60,33,"April_1",513
"GNAWED MOUNTAIN","1C19",1617,"3/30/1984",34,84,NA,79,25,"April_1",106
"PUNTZI MOUNTAIN","1C22",939,"3/30/1984",0,0,NA,0,NA,"April_1",19
"SPAHOMIN","1C30",1450,"3/30/1984",13,34,NA,50,26,"April_1",68
"TROPHY MOUNTAIN","1E03A",1907,"3/30/1984",161,514,NA,96,32,"April_1",537
"ABERDEEN LAKE","1F01A",1262,"3/30/1984",40,117,NA,94,29,"April_1",124
"HADDO LAKE","1F01B",1300,"3/30/1984",27,88,NA,84,33,"April_1",105
"MOUNT REVELSTOKE","2A06",1830,"3/30/1984",288,1140,NA,97,40,"April_1",1180
"KICKING HORSE","2A07",1648,"3/30/1984",88,284,NA,90,32,"April_1",317
"GOLDSTREAM","2A16",1914,"3/30/1984",273,1025,NA,90,38,"April_1",1133
"KEYSTONE CREEK","2A18",1839,"3/30/1984",205,727,NA,92,35,"April_1",788
"MOLSON CREEK","2A21",1980,"3/30/1984",250,944,NA,84,38,"April_1",1120
"SUNBEAM LAKE","2A22",2066,"3/30/1984",220,821,NA,93,37,"April_1",885
"BUSH RIVER","2A23",1982,"3/30/1984",185,633,NA,78,34,"April_1",809
"KIRBYVILLE LAKE","2A25",1739,"3/30/1984",268,1023,NA,88,38,"April_1",1163
"DOWNIE SLIDE (LOWER)","2A27",964,"3/30/1984",141,562,NA,85,40,"April_1",664
"DOWNIE SLIDE (UPPER)","2A29",1628,"3/30/1984",269,988,NA,74,37,"April_1",1334
"SINCLAIR PASS","2C01",1374,"3/30/1984",35,88,NA,81,25,"April_1",109
"KIMBERLEY","2C03A",1160,"3/30/1984",2,8,"A",8,40,"April_1",99
"SULLIVAN MINE","2C04",1580,"3/30/1984",65,175,NA,64,27,"April_1",272
"UPPER ELK RIVER","2C06",1340,"3/30/1984",0,0,NA,0,NA,"April_1",50
"KIMBERLEY (UPPER) VOR","2C11",2148,"3/30/1984",109,316,"A",78,29,"April_1",407
"KIMBERLEY (MIDDLE) VOR","2C12",1692,"3/30/1984",72,202,NA,85,28,"April_1",237
"KIMBERLEY (LOWER) VOR","2C13",1370,"3/30/1984",16,55,NA,48,34,"April_1",114
"DUNCAN LAKE","2D07",650,"3/30/1984",0,0,NA,0,NA,"April_1",48
"TRAPPING CREEK (UPPER)","2E04A",1350,"3/30/1984",63,205,NA,118,33,"April_1",174
"WHITEROCKS MOUNTAIN","2F09",1789,"3/30/1984",169,608,NA,117,36,"April_1",521
"MOUNT KOBAU","2F12",1817,"3/30/1984",123,349,NA,115,28,"April_1",304
"MACDONALD LAKE","2F23",1742,"3/30/1984",147,443,NA,104,30,"April_1",428
"ISLAHT LAKE","2F24",1492,"3/30/1984",112,302,NA,98,27,"April_1",309
"SNO-BIRD LAKE","3B16",1400,"3/30/1984",271,1235,NA,99,46,"April_1",1251
"TENNENT LAKE","3B22",1134,"3/30/1984",188,870,NA,89,46,"April_1",980
"WEDEENE RIVER","3C04",340,"3/30/1984",19,60,NA,32,32,"April_1",189
"WEDEENE RIVER SOUTH","3C07",196,"3/30/1984",41,162,NA,42,40,"April_1",383
"MC LEOD LAKE","4A01",980,"3/30/1984",55,168,NA,76,31,"April_1",221
"MORFEE MOUNTAIN","4A16",1427,"3/30/1984",207,787,"A",94,38,"April_1",833
